subj,b_name,a_name,b_offA,a_on_c,a_off_c,rolling_b_on_c,rolling_b_off_c
p2np_s103,duivel,herder,198.2398097,-38.56322035,-52.78658886,-36.60570171,361.445319
p2np_s103,been,mand,239.6773733,112.8524846,16.27827814,-63.92193631,75.57186997
p2np_s103,kikker,masker,102.202125,39.72150165,66.25125814,-28.44646221,-0.201765034
p2np_s103,kip,naald,192.0439132,226.8459456,215.5473231,20.34800259,499.272906
p2np_s103,doos,nagel,222.4770584,34.48353865,67.38789014,-80.72382501,190.462354
p2np_s103,tang,pan,338.9977767,130.7077866,-113.0542979,-24.53587971,270.100741
p2np_s103,baby,panda,188.7827956,84.11463065,-41.23332986,-18.27755421,161.311343
p2np_s103,wolf,ridder,222.9076194,215.4395566,286.9909401,7.206497094,128.44478
p2np_s103,cactus,rits,157.1998019,-79.97942435,-19.54179786,-0.112128506,470.834886
p2np_s103,ladder,schaar,226.8134742,-93.20905435,-61.84648486,-66.93160591,244.064546
p2np_s103,wortel,vlieg,186.3092433,-133.9487974,-150.5433999,-59.61193071,345.985527
p2np_s103,lamp,zebra,189.1736016,41.10789965,108.7207021,-74.81977691,320.628608
p2np_s103,doolhof,zee,280.1213616,-48.85488735,-98.65678186,-54.22119141,374.671065
p2np_s104,duif,hemd,320.7841065,-20.50488735,-60.65985286,6.111858694,363.64347
p2np_s104,duivel,herder,172.1386844,-38.56322035,-52.78658886,54.90272529,-101.801972
p2np_s104,been,mand,348.2558256,112.8524846,16.27827814,-19.10186191,-72.19788103
p2np_s104,kikker,masker,244.3855875,39.72150165,66.25125814,28.19503099,304.126883
p2np_s104,kip,naald,264.1180428,226.8459456,215.5473231,29.37400459,-2.020638034
p2np_s104,doos,nagel,224.3567377,34.48353865,67.38789014,-16.23196121,254.392274
p2np_s104,tang,pan,321.4032251,130.7077866,-113.0542979,35.49342779,-38.92609303
p2np_s104,baby,panda,229.6485827,84.11463065,-41.23332986,-6.263814406,75.49176297
p2np_s104,wolf,ridder,216.7595169,215.4395566,286.9909401,39.03098269,199.011836
p2np_s104,cactus,rits,306.4974493,-79.97942435,-19.54179786,69.98206529,249.746474
p2np_s104,ladder,schaar,280.5473015,-93.20905435,-61.84648486,-0.232349706,153.854159
p2np_s104,tandarts,schaduw,266.6823762,-168.5355244,-36.79339986,23.96425839,152.618587
